article_id,ticker,published_at,date,source_name,author,title,description,content,content_truncated,url,sentiment_score,sentiment_label,Open,High,Low,Close,Volume,Return_1D,MA_5,MA_21,MA_126,MA_252,Volatility_21
10,AAPL,2026-03-31T20:01:08Z,2026-03-31,9to5Mac,Chance Miller,Save over 30% on David Pogue’s new ‘Apple: The First 50 years’ book,"Update March 31, 2026: Ahead of Apple’s 50th anniversary tomorrow, David Pogue’s new book is on sale on Amazon for $34.09 (Reg. $50). This is a great way to save on one of the best modern Apple books there is. 



Original post below. 







Apple celebrates…","Update March 31, 2026: Ahead of Apple’s 50th anniversary tomorrow, David Pogue’s new book is on sale on Amazon for $34.09 (Reg. $50). This is a great way to save on one of the best modern Apple books",True,https://9to5mac.com/2026/03/31/david-pogue-releases-new-apple-the-first-50-years-book/,0.9217,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
11,AAPL,2026-03-31T20:04:28Z,2026-03-31,Mediaite,Zachary Leeman,DHS Slams ‘Failed Comedian’ Jimmy Kimmel Over Joke About Secretary Mullin’s Plumbing Credentials,"The Department of Homeland Security took a hit at comedian Jimmy Kimmel over a joke aimed at DHS Secretary Markwayne Mullin's plumbing past.
The post DHS Slams ‘Failed Comedian’ Jimmy Kimmel Over Joke About Secretary Mullin’s Plumbing Credentials first appear…","Screenshot via ABC.
The Department of Homeland Security took a jab at comedian Jimmy Kimmel over a joke aimed at DHS Secretary Markwayne Mullin’s plumbing past.
“Secretary Mullin represents the bes",True,https://www.mediaite.com/politics/dhs-slams-failed-comedian-jimmy-kimmel-over-joke-about-secretary-mullins-plumbing-credentials/,0.7351,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
12,AAPL,2026-03-31T20:05:06Z,2026-03-31,BleepingComputer,blompkuz,duckduckgo in settings storage shows using 20gigs,"duckduckgo in settings storage shows using 20gigs - posted in Apple iOS: there are not 20gigs of files in downloads.  there are 1 gigs in downloads.
 
what is using 19gigs and how do I collect it back?  without uninstalling and upgrading to a new version?
 
t…","there are not 20gigs of files in downloads.  there are 1 gigs in downloads.
what is using 19gigs and how do I collect it back?  without uninstalling and ""upgrading"" to a new version?
this is iphone",True,https://www.bleepingcomputer.com/forums/t/815201/duckduckgo-in-settings-storage-shows-using-20gigs/,0.0,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
13,AAPL,2026-03-31T20:05:23Z,2026-03-31,Gizmodo.com,Raymond Wong,The Best Gadgets of March 2026,"It was a very packed month for new Apple products, but we also got some notable new gadgets from Sonos, Nintendo, Asus ROG, and even Ikea.","March madness is over. No, not college basketball. I’m, of course, talking about Apple’s own March bonanza headlined by the $600 MacBook Neo. The low-cost and colorful laptop easily stole the spotlig",True,https://gizmodo.com/best-gadgets-march-2026-2000740331,-0.128,negative,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
14,AAPL,2026-03-31T20:07:55Z,2026-03-31,Macworld,Roman Loyola,"Apple employee 50th schwag includes T-shirt, pin, poster, and Paul McCartney","Macworld







Apple’s 50th anniversary is officially on Wednesday, and the company has been holding several events to commemorate the occasion. This week, however, Apple also gave out special anniversary schwag to its employees, according to several posts …","Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
Apple’s 50th anniver",True,https://www.macworld.com/article/3103671/apple-employee-50th-schwag-includes-t-shirt-pin-poster-and-paul-mccartney.html,0.0,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
15,AAPL,2026-03-31T20:08:00Z,2026-03-31,9to5Toys,Justin Kahn,David Pogue’s new ‘Apple: The First 50 Years’ hardcover book now 32% off at Amazon,"As part of the final day of the Amazon Big Spring Sale, it is now offering David Pogue’s Apple: The First 50 Years Hardcover book down at $34.09 shipped. This has been a popular read among readers and staffers over at 9to5Mac, and now Amazon is offering it wi…","As part of the final day of the Amazon Big Spring Sale, it is now offering David Pogues Apple: The First 50 Years Hardcover book down at $34.09 shipped. This has been a popular read among readers and",True,http://9to5toys.com/2026/03/31/david-pogue-new-apple-first-50-years-hardcover-book-deal/,0.5423,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
16,AAPL,2026-03-31T20:15:51Z,2026-03-31,MacRumors,Joe Rossignol,Apple Turns 50 Today: Reflecting on Each Decade's Biggest Moments,"Apple was founded on April 1, 1976, meaning the company is officially 50 years old as of today. To honor the occasion, we have reflected on some of Apple's biggest moments of each decade, from the 1970s through to the 2020s.





Apple has an extensive histor…","Apple was founded on April 1, 1976, meaning the company is officially 50 years old as of today. To honor the occasion, we have reflected on some of Apple's biggest moments of each decade, from the 19",True,https://www.macrumors.com/2026/04/01/apple-turns-50-today/,0.4939,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
17,AAPL,2026-03-31T20:17:03Z,2026-03-31,Smashingapps.com,An Jay,Best USB Hub for MacBook in 2026 — 7 Picks for Every Budget,"This guide covers 7 Best USB Hubs for MacBook in 2026 across four price tiers, with honest notes on what each does and does not do well.","Click here to buy secure, speedy, and reliable Web hosting, Cloud hosting, Agency hosting, VPS hosting, Website builder, Business email, Reach email marketing at 20% discount from our Gold Partner Ho",True,https://www.smashingapps.com/best-usb-hubs-for-macbook-in-2026/,0.3612,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
18,AAPL,2026-03-31T20:21:33Z,2026-03-31,9to5Mac,Seth Kurkowski,"9to5Mac Daily: March 31, 2026 – iOS 26.5 beta 1 changes, more","Listen to a recap of the top stories of the day from 9to5Mac. 9to5Mac Daily is available on iTunes and Apple’s Podcasts app, Stitcher, TuneIn, Google Play, or through our dedicated RSS feed for Overcast and other podcast players.



Sponsored by Backblaze: Ba…","Listen to a recap of the top stories of the day from 9to5Mac. 9to5Mac Daily is available on iTunes and Apples Podcasts app, Stitcher, TuneIn, Google Play, or through our dedicated RSS feed for Overca",True,https://9to5mac.com/2026/03/31/daily-march-31-2026/,0.7351,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
19,AAPL,2026-03-31T20:30:00Z,2026-03-31,Techdirt,Leigh Beadon,Techdirt Podcast Episode 448: Transaction Denied,"Support us on Patreon » In the conversation about online speech, most of the attention tends to fall on the big social media platforms, while other intermediaries get overlooked — especially payment processors and other financial intermediaries. But that very…","from the oft-overlooked dept
In the conversation about online speech, most of the attention tends to fall on the big social media platforms, while other intermediaries get overlooked especially paym",True,https://www.techdirt.com/2026/03/31/techdirt-podcast-episode-448-transaction-denied/,-0.0258,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
20,AAPL,2026-03-31T20:30:07Z,2026-03-31,Bringatrailer.com,bringatrailer,2020 Volkswagen Golf GTI S 6-Speed,This 2020 Volkswagen Golf GTI S is finished in Pure White over Clark Plaid cloth and is powered by a turbocharged 2.0-liter inline-four that drives the front wheels through a six-speed manual transaxle and a VAQ+ limited-slip differential. Equipment includes …,This 2020 Volkswagen Golf GTI S is finished in Pure White over Clark Plaid cloth and is powered by a turbocharged 2.0-liter inline-four that drives the front wheels through a six-speed manual transax,True,https://bringatrailer.com/listing/2020-volkswagen-golf-gti-4/,0.0,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
21,AAPL,2026-03-31T20:30:19Z,2026-03-31,PhoneArena,Johanna Romero,Google injects three vital features into Fitbit's AI health coach,"Plus, the coach is now open to users who don't pay for Premium.","All of these were missing when the coach first launched in Public Preview back in October 2025. Google was upfront about the gaps back then, so it's nice to see them actually following through.Google",True,https://www.phonearena.com/news/google-injects-three-vital-features-into-fitbits-ai-health-coach_id179332,0.3353,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
22,AAPL,2026-03-31T20:33:10Z,2026-03-31,Vulture,Brian Tallerico,6 New Movies You Can Finally Watch at Home Right Now,"March’s best flicks to land on PVOD included one of the funniest movies you’ll see all year, a smash-hit Canadian comedy, and an Oscar winner. ‘Avatar: Fire and Ash’ is out today.","It was a little quiet out there on the video-on-demand front in March, as the few remaining films from 2025 still unavailable at home filtered onto services like Prime Video, Apple TV, and Fandango a",True,http://www.vulture.com/article/best-new-movies-to-rent-on-demand-march-2026-releases.html,0.3612,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
23,AAPL,2026-03-31T20:34:58Z,2026-03-31,Schneier.com,Bruce Schneier,Possible US Government iPhone Hacking Tool Leaked,"Wired writes (alternate source):
Security researchers at Google on Tuesday released a report describing what they’re calling “Coruna,” a highly sophisticated iPhone hacking toolkit that includes five complete hacking techniques capable of bypassing all the de…","Wired writes (alternate source):
Security researchers at Google on Tuesday released a report describing what they’re calling “Coruna,” a highly sophisticated iPhone hacking toolkit that includes fiv",True,https://www.schneier.com/blog/archives/2026/04/possible-us-government-iphone-hacking-tool-leaked.html,0.7425,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
24,AAPL,2026-03-31T20:38:25Z,2026-03-31,9to5Mac,Ryan Christoffel,iOS 26.4 has convenient change for iPhone personal hotspot users,"iOS 26.4 launched last week, packing a wide array of new features, including a change for personal hotspot that makes it easy to see who’s using your data.



 more…","iOS 26.4 launched last week, packing a wide array of new features, including a change for personal hotspot that makes it easy to see whos using your data.
Until I went all-in on cellular iPads in th",True,https://9to5mac.com/2026/03/31/ios-26-4-makes-it-easy-to-see-whos-using-your-personal-hotspot/,0.5267,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
25,AAPL,2026-03-31T20:45:04Z,2026-03-31,TweakTown,Hassam Nasir,Apple's coding language Swift can now be used to develop Android apps,"The latest Swift update, version 6.3, allows developers to integrate Swift code into projects built with Kotlin and Java, or just make new native apps.Continue reading at TweakTown","There has existed a clear divide between Android and Apple over the past decade or so. Green bubbles vs. Blue bubbles, Safari vs. Chrome, and so many more differences have kept the two platforms sepa",True,https://www.tweaktown.com/news/110771/apples-coding-language-swift-can-now-be-used-to-develop-android-apps/index.html,0.3818,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
26,AAPL,2026-03-31T20:47:19Z,2026-03-31,Pypi.org,Unknown,superdoc-sdk-cli-darwin-arm64 1.3.0.dev51,SuperDoc CLI binary for macOS ARM64 (Apple Silicon),"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe",True,https://pypi.org/project/superdoc-sdk-cli-darwin-arm64/1.3.0.dev51/,0.3182,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
27,AAPL,2026-03-31T20:50:37Z,2026-03-31,CNBC,"Deirdre Bosa, Jasmine Wu",Column: Apple's crackdown on AI apps puts it on the wrong side of history,"Apple is going against its founding mission from 50 years ago by standing in the way AI coding, or vibe-coding.","Steve Jobs founded Apple 50 years ago this week on a simple idea: democratize computing by putting personal computers in the hands of anyone. Now, Apple is going against that founding mission by stan",True,https://www.cnbc.com/2026/03/31/column-apples-crackdown-on-ai-apps-puts-it-wrong-side-of-history.html,0.0,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
28,AAPL,2026-03-31T20:51:34Z,2026-03-31,USA Today,"Howard Balzer, Cardinals Wire",Arizona Cardinals' strength and conditioning staff still unannounced,"The Arizona Cardinals begin offseason program April 7, but who will be in charge?","The Arizona Cardinals open Phase 1 of their offseason program on April 7 with strength and conditioning, but outside the building, it is unknown who will be guiding the players when they report.
The",True,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2026/03/31/arizona-cardinals-strength-and-conditioning-staff-still-unannounced/89409791007/,0.2732,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
29,AAPL,2026-03-31T20:53:21Z,2026-03-31,Macdailynews.com,MacDailyNews,Apple tests Siri feature that could finally let it handle multiple commands at once,"Apple is quietly working on a significant upgrade to Siri that could make the long-serving digital assistant feel considerably more capable…
The post Apple tests Siri feature that could finally let it handle multiple commands at once appeared first on MacDail…","Apple’s Siri icon
Apple is quietly working on a significant upgrade to Siri that could make the long-serving digital assistant feel considerably more capable and natural to use. According to a new r",True,https://macdailynews.com/2026/03/31/apple-tests-siri-feature-that-could-finally-let-it-handle-multiple-commands-at-once/,0.774,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
30,AAPL,2026-03-31T20:55:07Z,2026-03-31,9to5Mac,Marcus Mendes,Watch Tim Cook ring the Nasdaq Opening Bell as part of Apple’s 50th anniversary celebrations,"Earlier today, Tim Cook remotely rang the Nasdaq Opening Bell from Apple Park, where he also gave a short speech. Here’s what he said.



 more…","Earlier today, Tim Cook remotely rang the Nasdaq Opening Bell from Apple Park, where he also gave a short speech. Heres what he said.
The Nasdaq Opening Bell ceremony took place remotely from Apple",True,https://9to5mac.com/2026/03/31/watch-tim-cook-ring-the-nasdaq-opening-bell-as-part-of-apples-50th-anniversary-celebrations/,0.0,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
31,AAPL,2026-03-31T20:55:08Z,2026-03-31,Bringatrailer.com,bringatrailer,2019 Audi TT Coupe 20th Anniversary Edition,"This 2019 Audi TT coupe is #510 of 999 20th Anniversary Edition examples produced for the US market to celebrate 20 years of the TT. It is finished in Aviator Gray Pearl Effect, and details unique to anniversary cars include Moccasin Brown leather with yellow…","This 2019 Audi TT coupe is #510 of 999 20th Anniversary Edition examples produced for the US market to celebrate 20 years of the TT. It is finished in Aviator Gray Pearl Effect, and details unique to",True,https://bringatrailer.com/listing/2019-audi-tt-5/,0.5719,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
32,AAPL,2026-03-31T20:55:18Z,2026-03-31,Yahoo Entertainment,Unknown,Apple Inc. (AAPL) Focused on Service Monetization to Accelerate Revenue Growth,,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us",True,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c899a6a0-a437-49af-a704-b7c9591c46ab,0.5423,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
33,AAPL,2026-03-31T20:55:54Z,2026-03-31,SamMobile,Adnan Farooqui,Apple’s rumored new Siri strategy exposes a big Samsung AI problem,"While Samsung stormed ahead in mobile AI with its Google Gemini partnership, Apple took a different approach. The company wasn't as open to teaming up with others initially, opting to tightly control Siri and available AI models on its devices to limit how ou…","While Samsung stormed ahead in mobile AI with its Google Gemini partnership, Apple took a different approach. The company wasn't as open to teaming up with others initially, opting to tightly control",True,https://www.sammobile.com/news/apples-rumored-new-siri-strategy-exposes-a-big-samsung-ai-problem/,0.0,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
34,AAPL,2026-03-31T21:00:00Z,2026-03-31,TechRadar,"dash.wood@futurenet.com (Dashiell Wood) , Dashiell Wood",The Division Resurgence seems like the perfect way to get your MMO shooter fix on the go — 'We believe it's a good way to catch up with the universe in a more flexible way' developer says,"The executive producer of The Division Resurgence believes the game is ""a good way to catch up with the universe in a more flexible way"".","<ul><li>The executive producer of Tom Clancy's The Division Resurgence has described the new mobile game as ""a good way to catch up with the universe""</li><li>The free-to-play title is fully canon an",True,https://www.techradar.com/gaming/mobile-gaming/the-division-resurgence-seems-like-the-perfect-way-to-get-your-mmo-shooter-fix-on-the-go-we-believe-its-a-good-way-to-catch-up-with-the-universe-in-a-more-flexible-way-developer-says,0.4404,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
35,AAPL,2026-03-31T21:03:01Z,2026-03-31,Fstoppers,Alex Cooke,The Biggest Photography Stories of March 2026,"March 2026 was one of those months where every corner of the photography world seemed to shift at once. From semiconductor crises driven by AI infrastructure to the Supreme Court declining to touch a pivotal AI copyright case, from the biggest camera trade sh…",March 2026 was one of those months where every corner of the photography world seemed to shift at once. From semiconductor crises driven by AI infrastructure to the Supreme Court declining to touch a,True,https://fstoppers.com/news/biggest-photography-stories-march-2026-901312,0.5574,positive,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
36,AAPL,2026-03-31T21:03:18Z,2026-03-31,The Verge,Jay Peters,You can now use ChatGPT with Apple’s CarPlay,"ChatGPT is now accessible from your CarPlay dashboard if you have iOS 26.4 or newer and the latest version of the ChatGPT app, 9to5Mac reports. Apple's recently-launched iOS 26.4 update added support for ""voice-based conversational apps"" in CarPlay, opening t…","<ul><li></li><li></li><li></li></ul>
iOS 26.4 opened the door to letting you chat with AI chatbots through your CarPlay dashboard.
iOS 26.4 opened the door to letting you chat with AI chatbots thro",True,https://www.theverge.com/ai-artificial-intelligence/904676/apple-carplay-openai-chatgpt,0.0,neutral,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
37,AAPL,2026-03-31T21:03:40Z,2026-03-31,Wccftech,Omar Sohail,M5 Max MacBook Pro Performance Scare Highlights A 41.5% Multi-Core Inconsistency Average Arising In Bad Batches,"A bad batch of MacBooks would typically be resolved with a quick software update, but the latest M5 Max models don’t fall in that category, as some of them are showcasing inconsistent multi-core performance in a variety of benchmarks. One YouTuber has noticed…","A bad batch of MacBooks would typically be resolved with a quick software update, but the latest M5 Max models dont fall in that category, as some of them are showcasing inconsistent multi-core perfo",True,https://wccftech.com/bad-batches-of-m5-max-macbook-pro-exist-with-performance-inconsistencies/,-0.2263,negative,247.91000366210932,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
