ticker,published_at,source_name,author,title,description,content,url
META,2026-03-31T20:38:47Z,Android Headlines,Sai Krishna,Meta Begins Testing Instagram Plus Subscription with Exclusive Perks,Meta is testing the Instagram Plus subscription in a few countries. The exclusive perks offered to users seem to be Story-focused.,"Meta has started testing a new Instagram Plus subscription service in a few countries, the company reportedly told TechCrunch. This comes after the company confirmed that it was planning to test subs… [+2275 chars]",https://www.androidheadlines.com/2026/03/meta-begins-testing-instagram-plus-subscription-with-exclusive-perks.html
META,2026-03-31T20:29:01Z,New York Post,Reuters,"Dow soars over 1,100 points as Trump sparks hope on Wall Street that Iran war is nearing end",All three major indexes posted their best day since May,"Wall Street surged on Tuesday, lifted by speculation about a potential de-escalation in the Middle East conflict that has sent oil prices soaring and fueled fears of global inflation in recent weeks.… [+3011 chars]",https://nypost.com/2026/03/31/business/dow-soars-over-1100-points-as-trump-sparks-hope-on-wall-street-that-iran-war-is-nearing-end/
META,2026-03-31T20:24:13Z,New York Post,Jeremy Louwerse,"Harrowing details of Roblox driving girl, 7, to suicidal thoughts, crippling depression: Lawsuit","A girl started getting suicidal thoughts and crippling depression after playing Roblox from the age of seven, a shocking lawsuit claims.","A girl started getting suicidal thoughts and crippling depression after playing Roblox from the age of seven, a shocking lawsuit claims.
The child, identified only as L.L., started playing the popul… [+4025 chars]",https://nypost.com/2026/03/31/us-news/roblox-you-tube-and-discord-named-in-new-lawsuit/
META,2026-03-31T20:08:14Z,iTnews,,Australia readies social media court action,Citing teen ban breaches.,"Australia threatened to sue social media giants for allegedly ⁠flouting a ⁠ban on under-16s, as its internet regulator disclosed it is investigating some of the biggest platforms for suspected non-co… [+3049 chars]",https://www.itnews.com.au/news/australia-readies-social-media-court-action-624713?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Software+feed
META,2026-03-31T20:07:49Z,iTnews,,Australia readies social media court action,Citing teen ban breaches.,"Australia threatened to sue social media giants for allegedly ⁠flouting a ⁠ban on under-16s, as its internet regulator disclosed it is investigating some of the biggest platforms for suspected non-co… [+3049 chars]",https://www.itnews.com.au/news/australia-readies-social-media-court-action-624713?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+
META,2026-03-31T20:06:16Z,iTnews,,Australia readies social media court action,Citing teen ban breaches.,"Australia threatened to sue social media giants for allegedly ⁠flouting a ⁠ban on under-16s, as its internet regulator disclosed it is investigating some of the biggest platforms for suspected non-co… [+3049 chars]",https://www.itnews.com.au/news/australia-readies-social-media-court-action-624713?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+News+feed
META,2026-03-31T20:05:39Z,iTnews,,Australia readies social media court action,Citing teen ban breaches.,"Australia threatened to sue social media giants for allegedly ⁠flouting a ⁠ban on under-16s, as its internet regulator disclosed it is investigating some of the biggest platforms for suspected non-co… [+3049 chars]",https://www.itnews.com.au/news/australia-readies-social-media-court-action-624713?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Technology+feed
META,2026-03-31T20:03:39Z,The Times of India,Reuters,"US Stocks today: Dow Jones soars 1,125 points, Nasdaq, S&P 3% as Iran war de-escalation seen",Wall Street surged Tuesday as speculation of a de-escalation in the Middle East conflict eased oil price and inflation fears. Major indexes rallied following reports of President Trump's willingness to end military action against Iran. Investors are seeking i…,"Wall Street ended sharply higher on Tuesday, lifted by speculation about a potential de-escalation in the Middle East conflict that has sent oil prices soaring and fueled fears of global inflation in… [+2577 chars]",https://economictimes.indiatimes.com/markets/us-stocks/news/us-stocks-today-dow-jones-soars-1125-points-nasdaq-sp-3-as-iran-war-de-escalation-seen/articleshow/129936055.cms
META,2026-03-31T19:59:47Z,CNET,Katelyn Chedraoui,Bluesky Is Making an AI Feature. Here's Why Everyone Seems to Hate It Already,The newest wave of backlash against AI on social media is directed at Bluesky.,"In its relatively short history as a social media platform, Bluesky has a pretty decent record for listening to its users. The site saw a surge in popularity after the 2024 election, following what m… [+3534 chars]",https://www.cnet.com/tech/services-and-software/bluesky-attie-ai-custom-feeds-backlash-news/
META,2026-03-31T19:35:36Z,TechCrunch,Amanda Silberling,Meta was finally held accountable for harming teens. Now what? | TechCrunch,"Meta faces thousands more court cases while Congress has proposed numerous bills addressing children’s online safety, some heavily criticized.","Meta lost a lawsuit against the state of New Mexico last week, marking the first time that the company has been held liable by the court system for endangering child safety. This was a landmark decis… [+6869 chars]",https://techcrunch.com/2026/03/31/meta-was-finally-held-accountable-for-harming-teens-now-what/
META,2026-03-31T19:35:00Z,TechRadar,Efosa Udinmwen,'AI-driven traffic is the fastest-growing category of internet traffic': New report claims it's official — AI and bots have taken over the internet,"Automated traffic now exceeds human activity online, driven by AI crawlers, scrapers, and agents interacting across commerce, search, and services.",<ul><li>Automated systems now generate more internet traffic than humans</li><li>AI crawlers dominate data collection across most major online platforms</li><li>Most automated traffic concentrates in… [+3407 chars],https://www.techradar.com/pro/ai-driven-traffic-is-the-fastest-growing-category-of-internet-traffic-new-report-claims-its-official-ai-and-bots-have-taken-over-the-internet
META,2026-03-31T19:31:01Z,New York Post,Post Editorial Board,TikTok’s rotten deal stinks even more after Meta and Google rulings,"Critics of social-media platforms are rejoicing over two rulings this week that aim to hold Meta and Google accountable for the harm they inflict on kids, yet the worst offender, TikTok, continues to operate unfettered.","Critics of social-media platforms are rejoicing over two rulings last week that aim to hold Meta and Google accountable for harm inflicted on kids but what Tik Tok, likely the worst offender in this … [+2893 chars]",https://nypost.com/2026/03/31/opinion/tiktoks-rotten-deal-stinks-even-more-after-meta-google-rulings/
META,2026-03-31T19:25:33Z,Forbes,"Angela Chan-Danisi, Contributor, 
 Angela Chan-Danisi, Contributor
 https://www.forbes.com/sites/angelachan/",AI Is Deciding What Your Customers See - Most Brands Haven’t Caught Up,"AI is redefining retail. Deloitte projects 25% of sales will be agent-driven by 2030. Learn how SEO, AEO, and GEO are changing how brands are discovered and selected.","AI technology power search engine button optimization. Digital data command prompt for article automatic generator illustration concept.
getty
For years, we thought we had search figured out.
SEO … [+4754 chars]",https://www.forbes.com/sites/angelachan/2026/03/31/ai-is-deciding-what-your-customers-seemost-brands-havent-caught-up/
META,2026-03-31T19:22:43Z,Breitbart News,Lucas Nolan,"Australia Investigates Meta, TikTok, Snap and YouTube over Potential Breaches of Teen Social Media Ban","Australia's online safety regulator has launched formal investigations into Mark Zuckerberg's Meta, Snap, TikTok and Google's YouTube amid concerns the tech giants may be failing to comply with the country's landmark social media ban for children under 16 yea…","Australia’s online safety regulator has launched formal investigations into Mark Zuckerberg’s Meta, Snap, TikTok and Google’s YouTube amid concerns the tech giants may be failing to comply with the c… [+4051 chars]",https://www.breitbart.com/tech/2026/03/31/australia-investigates-meta-tiktok-snap-and-youtube-over-potential-breaches-of-teen-social-media-ban/
META,2026-03-31T19:16:08Z,Davidmeermanscott.com,david@freshspot.com (David Meerman Scott),The AI Doc: Or How I Became an Apocaloptimist,"I saw the new film The AI Doc: Or How I Became an Apocaloptimist upon its release in theaters this weekend. It’s a fascinating, scary, and occasionally hopeful look at AI, especially the coming of Artificial General Intelligence (AGI).","I saw the new film The AI Doc: Or How I Became an Apocaloptimist upon its release in theaters this weekend. Its a fascinating, scary, and occasionally hopeful look at AI, especially the coming of Art… [+3325 chars]",https://www.davidmeermanscott.com/blog/the-ai-doc-or-how-i-became-an-apocaloptimist
META,2026-03-31T19:00:24Z,Buzzsprout.com,Joseph Harris,"Season 2, Episode 11: Katharina Krause and Brooke Bocast on The Many Ways of Doing Research on Global Health Politics","In this episode, I sit down with two researchers doing very exciting - but also very different - kinds of research on global health politics. In the first conversation, I talk with Dr. Katharina Krause, an international relations scholar who is a ...","Global Health Politics Podcast
Season 2, Episode 11: Katharina Krause and Brooke Bocast on The Many Ways of Doing Research on Global Health Politics 
SPEAKERS
Katharina Krause, Brooke Bocast, Jose… [+54039 chars]",https://globalhealthpoliticspodcast.buzzsprout.com/2364394/episodes/18924731-season-2-episode-11-katharina-krause-and-brooke-bocast-on-the-many-ways-of-doing-research-on-global-health-politics
META,2026-03-31T18:15:08Z,Nvidia.com,Max Bickley,Stream High-Fidelity Spatial Computing Content to Any Device with NVIDIA CloudXR 6.0,"Spatial computing is moving from visualization to active collaboration, adding increasingly more GPU demands on XR hardware to render photorealistic,...","Spatial computing is moving from visualization to active collaboration, adding increasingly more GPU demands on XR hardware to render photorealistic, physics-accurate, high-fidelity spatial content i… [+9627 chars]",https://developer.nvidia.com/blog/stream-high-fidelity-spatial-computing-content-to-any-device-with-nvidia-cloudxr-6-0/
META,2026-03-31T18:09:11Z,Techdirt,Mike Masnick,"Weeks After Denouncing Government Censorship On Rogan, Zuckerberg Texted Elon Musk Offering To Take Down Content For DOGE","On January 10th, 2025, Mark Zuckerberg sat down with Joe Rogan and put on quite a performance. He talked about how the Biden administration had pressured Meta to take down content. He detailed how the Biden administration had apparently pressured Meta to take…","from the hypocrisy-as-a-service dept
On January 10th, 2025, Mark Zuckerberg sat down with Joe Rogan and put on quite a performance. He talked about how the Biden administration had pressured Meta to… [+9482 chars]",https://www.techdirt.com/2026/03/31/weeks-after-denouncing-government-censorship-on-rogan-zuckerberg-texted-elon-musk-offering-to-take-down-content-for-doge/
META,2026-03-31T17:59:01Z,The Times of India,Piyush Shukla,"Why is the US stock market up today? Dow Jones soars 900 points, Nasdaq spikes 3% in powerful rebound as S&P 500 turns green - Here's Top Gainers Today in US Stock Market","Why is the US stock market up today? Dow surges 900+ points as S&P 500 and Nasdaq explode in massive rally. This US stock market rally today comes as easing Iran tensions, falling oil prices, and lower bond yields boost confidence. Investors are rushing back …","Why is the US stock market up today? Dow surges 900+ points as S&amp;P 500 and Nasdaq explode in massive rally.: US stock market is up today, and the numbers are hard to ignore. The Dow Jones Industr… [+8487 chars]",https://economictimes.indiatimes.com/news/international/us/why-is-the-us-stock-market-up-today-dow-jones-soars-900-points-nasdaq-spikes-3-in-powerful-rebound-as-sp-500-turns-green-heres-top-gainers-today-in-us-stock-market/articleshow/129933853.cms
META,2026-03-31T17:05:03Z,TweakTown,Hassam Nasir,"GeForce Now now brings 4K 90 FPS streaming on Apple Vision Pro, making it outperform Meta headsets","GeForce Now 2.0.83 puts Apple Vision Pro ahead of Meta and Pico with 4K 90 FPS, but it still relies on Safari rather than a dedicated app.Continue reading at TweakTown","NVIDIA's GeForce Now update, version 2.0.83, is here, and the two changes that stand out most in this release are for Apple Vision Pro users. First, ultimate members can now stream games at up to 4K … [+1628 chars]",https://www.tweaktown.com/news/110776/geforce-now-now-brings-4k-90-fps-streaming-on-apple-vision-pro-making-it-outperform-meta-headsets/index.html
META,2026-03-31T16:12:09Z,Slashdot.org,feedfeeder,"Rec Room, a Roblox-style VR game, is shutting down","The Roblox-like VR title Rec Room is shutting down after operating for a decade. The free-to-play social game is closing its doors because the developers ""never quite figured out"" how to make it profitable, despite attracting 150 million players.
""We spent a …","The Roblox-like VR title Rec Roomis shutting down after operating for a decade. The free-to-play social game is closing its doors because the developers ""never quite figured out"" how to make it profi… [+1850 chars]",https://slashdot.org/firehose.pl?op=view&amp;id=181193130
META,2026-03-31T16:01:21Z,Yahoo Entertainment,,Meta Platforms Surges 4% as Smart Glasses Launch and AI Push Give Investors Reason to Buy the Dip,,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c6503cf1-0aca-444e-b1bf-d6bc3b8e0afa
META,2026-03-31T16:00:17Z,Fb.com,Xi Chen,Meta Adaptive Ranking Model: Bending the Inference Scaling Curve to Serve LLM-Scale Models for Ads,"Meta continues to lead the industry in utilizing groundbreaking AI Recommendation Systems (RecSys) to deliver better experiences for people, and better results for advertisers. To reach the next frontier of performance, we are scaling Meta’s Ads Recommender r…","Meta continues to lead the industry in utilizing groundbreaking AI Recommendation Systems (RecSys) to deliver better experiences for people, and better results for advertisers. To reach the next fron… [+15264 chars]",https://engineering.fb.com/2026/03/31/ml-applications/meta-adaptive-ranking-model-bending-the-inference-scaling-curve-to-serve-llm-scale-models-for-ads/
META,2026-03-31T15:26:48Z,Wnd.com,Daily Caller News Foundation,WATCH: ‘Never been seen’ images released for Donald J. Trump Presidential Library set to tower over Miami,"Eric Trump: 'Over the past six months, I have poured my heart and soul into this project with my incredible team'","A rendering of the Donald J. Trump Presidential Library planned for Miami, Florida
The first images of the planned Donald J. Trump Presidential Library in Miami were revealed late Monday, detailing … [+7585 chars]",https://www.wnd.com/2026/03/watch-never-been-seen-images-released-donald-j/
META,2026-03-31T15:24:27Z,Github.com,tamnd,"Show HN: A complete index of all 14,000 articles on MDN Web Docs","Article URL: https://github.com/tamnd/mdn-index
Comments URL: https://news.ycombinator.com/item?id=47588729
Points: 2
# Comments: 0","A complete index of all 14,245 articles on MDN Web Docs, organized by technology. Every article includes a brief description extracted from its content.
All links point to developer.mozilla.org. Thi… [+319591 chars]",https://github.com/tamnd/mdn-index
META,2026-03-31T14:43:19Z,Yahoo Entertainment,Talha Qureshi,Meta Platforms (META) to Lay off a Few Hundred Employees,"Meta Platforms, Inc. (NASDAQ:META) is one of the Good Stocks to Buy Now. According to a recent March 25 report by Reuters, Meta Platforms, Inc. (NASDAQ:META)...","Meta Platforms, Inc. (NASDAQ:META) is one of the Good Stocks to Buy Now. According to a recent March 25 report by Reuters, Meta Platforms, Inc. (NASDAQ:META) is expected to lay off a few hundred peop… [+1540 chars]",https://finance.yahoo.com/markets/stocks/articles/meta-platforms-meta-lay-off-144319124.html
META,2026-03-31T14:36:00Z,GlobeNewswire,ReelTime Media,ReelTime's Annual Financials Reveal Major Capital Structure Improvements Designed to Protect Shareholder Value and Reduce Potential Dilution,"Nearly 685 Million Potential Shares Reduced or Eliminated, with Share Count Stable Since July 2025, as ReelTime Highlights Debt Reduction, Dilution Discipline, and Capital Stewardship in an AI Market Led by Microsoft (MSFT), NVIDIA (NVDA), Alphabet (GOOGL Nea…","Bothell, WA, March 31, 2026 (GLOBE NEWSWIRE) -- ReelTime Media (OTCID:RLTR), the company behind Reel Intelligence RI, today highlighted key shareholder-focused takeaways from its annual financial sta… [+5258 chars]",https://www.globenewswire.com/news-release/2026/03/31/3265733/0/en/ReelTime-s-Annual-Financials-Reveal-Major-Capital-Structure-Improvements-Designed-to-Protect-Shareholder-Value-and-Reduce-Potential-Dilution.html
META,2026-03-31T14:30:00Z,Fortune,Carlos Garcia,"Exclusive: Former Stripe and Coinbase employees raise $8 million for Latitude, a startup whose core product is stablecoin-based ‘Global Payouts’",The company aims to be a more efficient money movement rail for businesses of all sizes.,"When a business sends money internationally, the process can be slow and expensive. This is the gap that Latitude aims to fill by helping firms make fast and affordable international payments by usin… [+2098 chars]",https://fortune.com/2026/03/31/exclusive-former-stripe-and-coinbase-employees-raise-8-million-for-latitude/
META,2026-03-31T14:28:36Z,Wccftech,David Carcasole,VR Takes Another Blow: Social VR Platform Rec Room is Shutting Down a Decade After Launch,"VR gaming and the VR industry have just taken another blow, with one of its longest-surviving social platforms, Rec Room, shutting down as of June 1, 2026. The social VR platform has survived for a decade, though its run is coming to an end in just two months…","VR gaming and the VR industry have just taken another blow, with one of its longest-surviving social platforms, Rec Room, shutting down as of June 1, 2026. The social VR platform has survived for a d… [+3824 chars]",https://wccftech.com/rec-room-vr-social-platform-shuts-down-after-decade/
META,2026-03-31T14:15:45Z,UploadVR,James Tocchio,GOLF+ Coming To PC VR This Summer,"GOLF+, the best selling golf sim on Quest, is making its way to PC VR this year, targeting a late-summer release.","GOLF+, the best selling golf sim on Meta Quest, is making its way to PC VR this year, targeting a late-summer release.
The developers of GOLF+ have announced that their immensely popular golf sim ga… [+1078 chars]",https://www.uploadvr.com/golf-coming-to-pc-vr-this-summer/
META,2026-03-31T14:05:44Z,Dexerto,Connor Bennett,Instagram testing paid subscription to let you anonymously watch Stories - Dexerto,"Meta has begun testing a premium subscription for Instagram, which will let you view Instagram Stories anonymously. However, it is super-limited right now.","Meta has begun testing a premium subscription for Instagram, which will let you view Instagram Stories anonymously. However, it is super-limited right now.
For years, social media users feared that … [+2545 chars]",https://www.dexerto.com/entertainment/instagram-testing-paid-subscription-to-let-you-anonymously-watch-stories-3343596/
META,2026-03-31T14:00:00Z,Plos.org,"Zhongyu Qin, Kaixia Li, Xuanjie Li, Haorui Wang, Yiqiang Zhang",CAPG serves as a prognostic biomarker and promotes proliferation and migration in pancreatic ductal adenocarcinoma,"The actin-binding protein CAPG (Capping Actin Protein, Gelsolin Like) is implicated in oncogenesis, but its role in pancreatic ductal adenocarcinoma (PDAC) remains unclear. This study combined bioinformatic analysis of TCGA/GEO datasets, immunohistochemistry …","Abstract
The actin-binding protein CAPG (Capping Actin Protein, Gelsolin Like) is implicated in oncogenesis, but its role in pancreatic ductal adenocarcinoma (PDAC) remains unclear. This study combi… [+43238 chars]",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0346011
META,2026-03-31T14:00:00Z,Plos.org,"Mackingsley Kushan Dassanayake, Teng-Jin Khoo, Chien Hwa Chong, Mohammed Tahir Ansari, Patrick Di Martino, Fernando Berton Zanchi, Adam Figiel, Antoni Szumny, Omar Ashraf Elfar, Christophe Wiart, Rachael Symonds",Predicted antiviral potential of phytochemicals prolific in Cleistanthus bracteosus Jabl. and essential oils of Artemisia scoparia and Thuja orientalis against Nipah virus and Human metapneumovirus: An AI-driven in-silico study,The recent Nipah virus (NiV) epidemic and human metapneumovirus (hMPV) outbreak have had a significant impact on human health and society worldwide. The attachment glycoprotein (G) and fusion glycoprotein (F0) of NiV and hMPV are essential for pathogenesis an…,"Abstract
The recent Nipah virus (NiV) epidemic and human metapneumovirus (hMPV) outbreak have had a significant impact on human health and society worldwide. The attachment glycoprotein (G) and fusi… [+83686 chars]",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0346254
META,2026-03-31T13:47:27Z,Variety,Todd Spangler,Meta’s Instagram Agrees to Add Disclaimer to Use of PG-13 in Describing Teen Accounts After Movie Studios Threw Legal Flag,Instagram will continue to use the movie industry’s PG-13 rating in referring to its parent-controlled Teen Accounts — but it’s going to add a disclaimer explaining that “There are lots of differences between social media and movies.” The Motion Picture Assoc…,"Instagram will continue to use the movie industry’s PG-13 rating in referring to its parent-controlled Teen Accounts — but it’s going to “substantially reduce” references to the mark, and when it doe… [+2998 chars]",https://variety.com/2026/digital/news/instagram-pg-13-teen-accounts-disclaimer-mpa-settlement-1236703479/
META,2026-03-31T13:47:22Z,Michaelgeist.ca,Michael Geist,Scoping in the Tech Giants: Bill C-22’s International Production Order and the Shift to a Less Privacy-Protective Cross-Border Disclosure System,"While much of the focus on lawful access and subscriber information has centred on the reduced standards to obtain an order for the information from Canadian telecom and Internet providers, there is another new production order deserving of attention (see ear…","While much of the focus on lawful access and subscriber information has centred on the reduced standards for obtaining an order for such information from Canadian telecom and Internet providers, ther… [+6476 chars]",https://www.michaelgeist.ca/2026/03/scoping-in-the-tech-giants-bill-c-22s-international-production-order-and-the-shift-to-a-less-privacy-protective-cross-border-disclosure-system/
META,2026-03-31T13:39:06Z,The Times of India,Reuters,Meta unveils two new Ray-Ban prescription smart glasses,Meta Platforms has introduced two new Ray-Ban prescription smart glasses. This move expands their range of AI-powered gadgets. Meta is investing heavily in personal superintelligence. The company partners with EssilorLuxottica for these smart glasses. Billion…,"Meta Platforms launched two new Ray-Ban prescription smart glasses on Tuesday, expanding its offerings in an area that has become one of the few breakthrough successes in the race for artificial inte… [+521 chars]",https://economictimes.indiatimes.com/tech/technology/meta-unveils-two-new-ray-ban-prescription-smart-glasses/articleshow/129927695.cms
META,2026-03-31T13:30:33Z,The Indian Express,Tech Desk,Instagram may soon offer premium tools as Meta tests subscription,"The subscription introduces features like anonymous Story viewing, audience lists, and extended Story duration.","Meta Platforms is launching a new premium Instagram subscription, a move to diversify its revenue base in an increasingly competitive social media space. The new premium subscription, Instagram Plus,… [+2445 chars]",https://indianexpress.com/article/technology/tech-news-technology/instagram-may-soon-offer-premium-tools-as-meta-tests-subscription-10611731/
META,2026-03-31T13:29:17Z,Reason,Peter Suderman,Social Media Is Not Tobacco,Efforts by social media critics to treat platforms like addictive products could weaken legal protections for online speech.,"Social media addiction? One of the refrains you hear from social media critics is that it's effectively a kind of digital tobaccounsafe, addictive, and intentionally marketed to children, despite exe… [+9223 chars]",https://reason.com/2026/03/31/social-media-is-not-tobacco/
META,2026-03-31T13:14:14Z,Ibtimes.com.au,Daniel Lee,Rec Room Shutting Down June 1: VR Social Platform Ends Run After 150 Million Players Despite Profit Struggles,"Rec Room, the popular social gaming platform that let millions build, play and hang out in virtual worlds across VR headsets, consoles, PCs and mobile devices, is shutting down permanently on June 1, 2026, the company announced Monday in a surprise move that …","Rec Room, the popular social gaming platform that let millions build, play and hang out in virtual worlds across VR headsets, consoles, PCs and mobile devices, is shutting down permanently on June 1,… [+7314 chars]",https://www.ibtimes.com.au/rec-room-shutting-down-june-1-vr-social-platform-ends-run-after-150-million-players-despite-profit-1865092
META,2026-03-31T13:06:31Z,CNA,,Meta unveils two new Ray-Ban prescription smart glasses,"March 31 : Meta Platforms launched two new Ray-Ban prescription smart glasses on Tuesday, expanding its offerings in an area that has become one of the few breakthrough successes in the race for artificial intelligence-powered gadgets.The new launches will br…","March 31 : Meta Platforms launched two new Ray-Ban prescription smart glasses on Tuesday, expanding its offerings in an area that has become one of the few breakthrough successes in the race for arti… [+534 chars]",https://www.channelnewsasia.com/business/meta-unveils-two-new-ray-ban-prescription-smart-glasses-6028626
META,2026-03-31T13:06:31Z,CNA,,Meta unveils two $499 Ray-Ban smart glasses for prescription users,"March 31 : Meta Platforms launched two new Ray-Ban prescription smart glasses on Tuesday, expanding its offerings in an area that has become one of the few breakthrough successes in the race for artificial intelligence-powered gadgets.The new glasses, which a…","March 31 : Meta Platforms launched two new Ray-Ban prescription smart glasses on Tuesday, expanding its offerings in an area that has become one of the few breakthrough successes in the race for arti… [+2025 chars]",https://www.channelnewsasia.com/business/meta-unveils-two-499-ray-ban-smart-glasses-prescription-users-6028626
META,2026-03-31T13:06:31Z,CNA,,Meta unveils two Ray-Ban smart glasses for prescription wearers starting at $499,"March 31 : Meta Platforms launched two new Ray-Ban prescription smart glasses on Tuesday, expanding its offerings in an area that has become one of the few breakthrough successes in the race for artificial intelligence-powered gadgets.The new glasses, which a…","March 31 : Meta Platforms launched two new Ray-Ban prescription smart glasses on Tuesday, expanding its offerings in an area that has become one of the few breakthrough successes in the race for arti… [+1204 chars]",https://www.channelnewsasia.com/business/meta-unveils-two-ray-ban-smart-glasses-prescription-wearers-starting-499-6028626
